 		Project:	Virginia P. Moore Collection	Lead:	Laura Romans						Metadata Creators:	Laura Romans, Alesha Shumar, Sharon Boring, Robin Cox, Helen Galloway, Wanda Rosinski, and Anchalee Panigabutra-Roberts (metadata creator and editor)	Date:														Laura Romans																																								
metadata_creator	content_model	identifier_file	title	title_initial_article	rights	rights_URI	rights_holder_name	rights_holder_name_authority	rights_holder_name_URI	rights_holder_name_type	item_type	date_key	date_text	date_qualifier	form	form_URI	collection	collection_identifier	name	name_role	name_authority	name_type	name2	name_role2	name_authority2	name_type2	repository	abstract	extent	genre	genre_URI	language	record_source	subject_geographic	subject_geographic_authority	subject_geographic2	subject_geographic_authority2	subject_geographic3	subject_geographic_authority3	subject_name	subject_name_authority	subject_name2	subject_name_authority2	subject_topic	subject_topic_authority	subject_topic2	subject_topic_authority2	subject_topic3	subject_topic_authority3	subject_topic4	subject_topic_authority4	subject_topic5	subject_topic_authority5	subject_topic6	subject_topic_authority6	subject_topic7	subject_topic_authority7	subject_topic8	subject_topic_authority8	subject_topic9	subject_topic_authority9	subject_topic10	subject_topic_authority10	subject_topic11	subject_topic_authority11	subject_topic12	subject_topic_authority12
	Required/Repeatable	Required / Not Repeatable	Required / Repeatable	Required if Available / Repeatable	Required / Not Repeatable	Required / Not Repeatable					Required / Not Repeatable	Required / Not Repeatable	Required / Repeatable	Required if Applicable / Not Repeatable	Required / Repeatable	Required / Repeatable	Required if Available / Not Repeatable	Required if Available / Not Repeatable	Required if Available / Repeatable	Required if Available / Repeatable	Optional / Repeatable	Optional / Repeatable	Required if Available / Repeatable	Required if Available / Repeatable	Optional / Repeatable	Optional / Repeatable	Required if Available / Not Repeatable	Optional / Repeatable	Optional / Not Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Not Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable		Optional / Repeatable		Optional / Repeatable			Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable	Optional / Repeatable
JOY	book	0012_003912_000001	SIXTH ANNUAL MEETING of WOMEN AGENTS _ _ _ _ O _ _ _ _ TO BE HELD AT UNIVERSITY OF TENNESSEE KNOXVILLE, TENN. APRIL 16 - 21, 1917. 		No Copyright - United States	http://rightsstatements.org/vocab/NoC-US/1.0/					text	1917	APRIL 16 - 21, 1917		printed ephemera	http://vocab.getty.edu/aat/300264821	Virginia P. Moore Collection	MS.3821									University of Tennessee, Knoxville. Special Collections	The typewritten pamphlet includes the daily meeting schedule for the Sixth Annual Meeting of Tennessee's Women Home Demonstrating Agents at the University of Tennessee, Knoxville, April 16 - 21, 1917. The meetings included a variety of home demonstration topics, ranging from canning, food preservation, beeskeeping to textile laboratory work. The last page (page 4) includes the lists of visiting instructors and the counties in Tennessee represented by the agents.  	1 pamphlet (4 pages) ; 22 cm.	Conference materials	http://id.loc.gov/authorities/genreForms/gf2014026067	eng	University of Tennessee, Knoxville. Libraries	Knoxville (Tenn.)	naf	Tennessee	naf							Home demonstration work -- Congresses 	lcsh	Home economics extension work -- Congresses	lcsh																				
JOY	book	0012_003912_000002	Victory Luncheon --- Hermitage Hotel, Nashville, Tennessee, April 5, 1918.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	text	1918	April 5, 1918.		printed ephemera	http://vocab.getty.edu/aat/300264821	Virginia P. Moore Collection	MS.3821	United States Food Administration 	Issuing body	naf	corporate	Council of National Defense (Washington, D.C.). Woman's Committee. Tennessee Division. 	Issuing body	naf	corporate	University of Tennessee, Knoxville. Special Collections	A program booklet printed in black ink with fancy fonts for a luncheon, [organized] by Virginia P Moore as the Home Economics Director, Federal Food Administration for Tennessee and the Food Director, Tennessee Division, Women's Committee, Council of National Defense. Front page includes 'Dr. Anna Howard Shaw, Chairman, Women's Committee National Council Defense, Washington, D.C., Honor Guest.', also the well-known suffragist and a close colleague of Susan B. Anthony. Page [2] includes the luncheon's menu. Page [3] includes the 'toasts' listing of two reports' titles, "Production of food in our homes" and "Conservation of food in our homes' from Women of West, Middle and East Tennessee. The toast mistress is listed as "Home Economics Director, Federal Food Administration for Tennessee, and Food Director, Tennessee Division, Woman's Committee, Council of National Defense", with a handwritten script in pencil of Moore's name under 'Toast Mistress'. Moore wrote with a fountain pen in blue 'see note" on this page. Page [4] Moore's noted in blue ink, "I would not permit my name to appear on the program as no other name appeared. I should have according to Mrs Ida Belle Wilson and others who asked me to do this. Mama wrote my name in. I was well known by the things I represent. Virginia P. Moore, 1918." This luncheon is an evidence of home demonstration agents' contribution to the war effort in lieu of food production and conservation and Tennessee women's connection to the Women's Rights Movement in the United States. 	1 pamphlet (4 pages) ; 18 cm.			eng	University of Tennessee, Knoxville. Libraries	Nashville (Tenn.)	naf	Tennessee	naf			Shaw, Anna Howard, 1847-1919	naf	Moore, Virginia P. (Virginia Pearl)	naf	Home demonstration work	lcsh																						
JOY	book	0012_003912_000003	Early Home Demonstration Work in the South.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	text	1936	1-16-36		printed ephemera	http://vocab.getty.edu/aat/300264821	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Author	naf	personal					University of Tennessee, Knoxville. Special Collections	A typewritten text in black ink on onionskin paper, with corrections made in handwriting with pencil and in blue ink, especially for the author's name. Possibly a lecture written by Moore addressing the history of home demonstration work in Southern United States, the history of canning clubs and home demonstration work in Florida, including some history of home demonstration work in the U.S. in general, with a mention of Dr. Seaman A. Knapp, the founder of home demonstration work, and the Smith-Lever Bill, 1914.  	4 leaves of pages ; 28 cm.	Lectures	http://id.loc.gov/authorities/genreForms/gf2014026122	eng	University of Tennessee, Knoxville. Libraries	Southern States	naf	Florida	naf			Knapp, Seaman Ashahel, 1833-1911	naf			Home demonstration work -- History	lcsh	Canning and preserving -- Societies, etc. -- History.	lcsh																				
JOY	book	0012_003912_000004	OBJECTS OF THE GIRLS' C. & P. CLUB WORK.		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	text	19uu	unknown		printed ephemera	http://vocab.getty.edu/aat/300264821	Virginia P. Moore Collection	MS.3821	unknown	Author							University of Tennessee, Knoxville. Special Collections	A typewritten text in black ink on onionskin paper, listing six objectives of Girls' Demonstration Club Work, with the motto, "to make the best better".  	1 leave of page ; 28 cm.			eng	University of Tennessee, Knoxville. Libraries	United States 	naf									Young farmers' clubs 	lcsh	Girls -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh	Home demonstration work	lcsh																
JOY	book	0012_003912_000005	Do You Practice Good Housekeeping?		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	text	19uu	unknown		printed ephemera	http://vocab.getty.edu/aat/300264821	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Author	naf	personal					University of Tennessee, Knoxville. Special Collections	A typewritten text in black ink on onionskin paper written by Moore, as the 'Extension Specialist in Home Improvement', on the importance of housekeeping even with the modern lifestyle when women had more responsibilities outside of the homes. 	1 leave of page ; 28 cm.			eng	University of Tennessee, Knoxville. Libraries											Housekeeping	lcsh	Home demonstration work	lcsh																				
JOY	book	0012_003912_000006	YEAR'S OUTLINE OF WORK TO BE SUPPLEMENTED BY BULLETINS, PROGRAMS AND OTHER HELPS FROM DIVISION OF EXTENSION, UNIVERSITY OF TENNESSEE ; OBJECT OF HOME DEMONSTRATION CLUBS FOR WOMEN.  		In Copyright	http://rightsstatements.org/vocab/InC/1.0/	Moore, Virginia P. (Virginia Pearl)	naf	http://id.loc.gov/authorities/names/no00073285	personal	text	19uu	unknown		printed ephemera	http://vocab.getty.edu/aat/300264821	Virginia P. Moore Collection	MS.3821	Moore, Virginia P. (Virginia Pearl)	Author	naf	personal					University of Tennessee, Knoxville. Special Collections	Leave [1]. A typewritten text in black ink written by Moore, with her name penned in blue. The outline includes Moore's home demonstration activities by month. Leave [2]. A typewritten text in black ink listing four objectives of home demonstration clubs for women per "the suggestions sent out by the Division of Extension, University of Tennessee and U.S. Department of Agriculture".	[2] leaves of pages ; 27 cm.			eng	University of Tennessee, Knoxville. Libraries	Tennessee	naf									Home demonstration work 	lcsh	Women -- Societies and clubs	lcsh	Agricultural education -- Societies, etc.	lcsh																		
JOY	book	0012_003912_000007	[Recipes for desserts]		Copyright Undetermined	http://rightsstatements.org/vocab/UND/1.0/					text	19uu	unknown		ephemera	http://vocab.getty.edu/aat/300028881	Virginia P. Moore Collection	MS.3821	unknown	Author							University of Tennessee, Knoxville. Special Collections	Four dessert recipes handwriten with pencil on a sheet of paper include "Mrs. Rutherford's Cheap Fruit Cake, Caramel Pies (Sue Bradley), Coffee Cake, and Fruit Cake (Helen [illegible])".	[2] pages ; 26 cm.	Recipes	http://id.loc.gov/authorities/genreForms/gf2014026162	eng	University of Tennessee, Knoxville. Libraries											Fruitcake -- Recipes	lcsh	Coffee cakes -- Recipes	lcsh	Cake -- Recipes	lcsh	Pies -- Recipes	lcsh																
